Survey Question,Answer Option,Unweighted Frequency,Weighted Percent
"During the past 30 days, did you see any advertisements for tobacco products in newspapers or magazines?",I did not read any newspapers or magazines in the past 30 days,2599,30.4
"During the past 30 days, did you see any advertisements for tobacco products in newspapers or magazines?",Yes,2412,26.1
"During the past 30 days, did you see any advertisements for tobacco products in newspapers or magazines?",No,3570,43.5
"During the past 30 days, did you see any advertisements or promotions for tobacco products at fairs or community events?",I did not attend any fairs or community events in the past 30 days,3618,38.7
"During the past 30 days, did you see any advertisements or promotions for tobacco products at fairs or community events?",Yes,1107,13.3
"During the past 30 days, did you see any advertisements or promotions for tobacco products at fairs or community events?",No,3835,48.1
"During the past 30 days, did you see any advertisements for tobacco products when you attended sports events? Original Analysis Unweighted Unweighted",I did not attend any sports events in the past 30 days,3417,36.1
"During the past 30 days, did you see any advertisements for tobacco products when you attended sports events? Original Analysis Unweighted Unweighted",Yes,1033,12.6
"During the past 30 days, did you see any advertisements for tobacco products when you attended sports events? Original Analysis Unweighted Unweighted",No,4049,51.3
"During the past 30 days, did you see any advertisements for tobacco products at concerts?",I did not attend any concerts in the past 30 days,3639,39.4
"During the past 30 days, did you see any advertisements for tobacco products at concerts?",Yes,1002,11.6
"During the past 30 days, did you see any advertisements for tobacco products at concerts?",No,3920,48.9
"Would you ever use or wear something that has a tobacco company or tobacco product name or picture on it such as a lighter, pen, t-shirt, hat, or sunglasses?",Yes,886,11.0
"Would you ever use or wear something that has a tobacco company or tobacco product name or picture on it such as a lighter, pen, t-shirt, hat, or sunglasses?",Maybe,1647,18.6
"Would you ever use or wear something that has a tobacco company or tobacco product name or picture on it such as a lighter, pen, t-shirt, hat, or sunglasses?",No,5934,70.3
"Do you have something (for example, t-shirt, pen, hat lighter, or backpack) with a tobacco product brand logo on it?",Yes,984,13.5
"Do you have something (for example, t-shirt, pen, hat lighter, or backpack) with a tobacco product brand logo on it?",No,6786,86.5
Has a person working for a tobacco company ever offered you a free tobacco product?,Yes,775,9.1
Has a person working for a tobacco company ever offered you a free tobacco product?,No,7477,90.9
Have you ever received a coupon from a tobacco company?,Yes,716,8.9
Have you ever received a coupon from a tobacco company?,No,7542,91.1
Do you think tobacco advertising should be banned?,Yes,5894,67.5
Do you think tobacco advertising should be banned?,No,2396,32.5
"If one of your best friends offered you a tobacco product, would you use it?",Definitely not,7660,89.0
"If one of your best friends offered you a tobacco product, would you use it?",Probably not,473,5.1
"If one of your best friends offered you a tobacco product, would you use it?",Probably yes,291,3.4
"If one of your best friends offered you a tobacco product, would you use it?",Definitely yes,185,2.4
At anytime during the next 12 months do you think you will use any form of tobacco?,Definitely not,7503,86.7
At anytime during the next 12 months do you think you will use any form of tobacco?,Probably not,509,6.2
At anytime during the next 12 months do you think you will use any form of tobacco?,Probably yes,327,4.1
At anytime during the next 12 months do you think you will use any form of tobacco?,Definitely yes,270,3.0
"Once someone has started smoking tobacco, do you think it would be difficult for them to quit? Original Analysis Unweighted Unweighted",Definitely not,3045,39.0
"Once someone has started smoking tobacco, do you think it would be difficult for them to quit? Original Analysis Unweighted Unweighted",Probably not,2128,22.2
"Once someone has started smoking tobacco, do you think it would be difficult for them to quit? Original Analysis Unweighted Unweighted",Probably yes,718,8.5
"Once someone has started smoking tobacco, do you think it would be difficult for them to quit? Original Analysis Unweighted Unweighted",Definitely yes,2693,30.3
"Do you think smoking tobacco helps people feel more comfortable or less comfortable at celebrations, parties, or in other social gatherings?",More comfortable,5107,62.4
"Do you think smoking tobacco helps people feel more comfortable or less comfortable at celebrations, parties, or in other social gatherings?",Less comfortable,1847,25.8
"Do you think smoking tobacco helps people feel more comfortable or less comfortable at celebrations, parties, or in other social gatherings?",No difference whether smoking or not,1493,11.9
"Do you agree or disagree with the following: ""I think I might enjoy smoking a cigarette.""",I currently smoke cigarettes,675,8.6
